store_id,store_name,address,city,state,zip
1,Smart and Final Extra Anaheim Plaza,510 N Euclid St,Anaheim,CA,92801
2,Smart and Final Arbor Broadway Faire,3310 West Shaw Ave,Fresno,CA,93711
3,Smart and Final Extra Bixby Knolls,4552 Atlantic Ave,Long Beach,CA,90807
4,Smart and Final Bristol Marketplace,W 17th St,Santa Ana,CA,92706
5,Smart and Final Chino Hills Marketplace,4100 Chino Hills Pkwy & Pipeline Ave,Chino Hills,CA,91709
6,Smart and Final Compton Town Center,100-290 E Compton Blvd,Compton,CA,90220
7,Smart and Final Canyon Springs,2620-2698 Canyon Springs Pkwy,Riverside,CA,92507
8,Smart and Final Burlington Plaza,5600 N Blackstone Ave,Fresno,CA,93710
9,Smart and Final Deer Creek Village,447 N McDowell Blvd,Petaluma,CA,94954
10,Smart and Final Extra Devonshire Reseda,18661 Devonshire St,Northridge,CA,91324
11,Smart and Final East County Village,8416-8418 Los Coches Rd,El Cajon,CA,92021
12,Smart and Final Extra La Habra Marketplace,1641 W Imperial Hwy,La Habra,CA,90631
13,Smart and Final Extra Mira Mesa,10755 Westview Pkwy,San Diego,CA,92126
14,Smart and Final Moorpark Marketplace,848 New Los Angeles Ave,Moorpark,CA,93021
15,Smart and Final Murrieta Springs Plaza,25100 Madison Ave,Murrieta,CA,92562
16,Smart and Final Palmdale Marketplace,39340 10th St W,Palmdale,CA,93551
17,Smart and Final Plaza de San Jose,1750 Story Rd,San Jose,CA,95122
18,Smart and Final San Dimas Plaza,853-1073 West Arrow Hwy,San Dimas,CA,91773
19,Smart and Final Sommersville Towne Center,2550 Somersville Rd,Antioch,CA,94509
20,Smart and Final Terra Nova Plaza,394 East H St,Chula Vista,CA,91910
21,Smart and Final Plaza at Puente Hills,18131 Gale Ave,City of Industry,CA,91748
22,Smart and Final Torrance Towne Center,2755 Pacific Coast Hwy,Torrance,CA,90505
23,Smart and Final Extra Union Landing,32115 Union Landing Blvd,Union City,CA,94587
24,Smart and Final Extra Walnut Village Irvine,14407-14493 Culver Dr,Irvine,CA,92604
25,Smart and Final Westgate West,5287 Prospect Rd,San Jose,CA,95129
26,Smart and Final Extra Shoppers Square Reno,370 Casazza Dr,Reno,NV,89502
27,Smart and Final Westland Fair Las Vegas,4437 West Charleston Blvd,Las Vegas,NV,89102
28,Smart and Final Las Vegas Sahara,8485 W Sahara Ave,Las Vegas,NV,89117
29,Smart and Final Las Vegas Flamingo,3750 E Flamingo Rd,Las Vegas,NV,89119
30,Smart and Final Phoenix 43rd Ave,1450 N 43rd Ave,Phoenix,AZ,85009
31,Smart and Final Phoenix Indian School,2742 E Indian School Rd,Phoenix,AZ,85016
32,Smart and Final Phoenix Greenway,3434 W Greenway Rd,Phoenix,AZ,85053
33,Smart and Final West Hollywood Fuller,1041 Fuller Ave,West Hollywood,CA,90046
34,Smart and Final Pasadena,401 N Fair Oaks Ave,Pasadena,CA,91103
35,Smart and Final Los Angeles Wilshire,5555 Wilshire Blvd,Los Angeles,CA,90036
36,Smart and Final Los Angeles Figueroa,6060 N Figueroa St,Los Angeles,CA,90042
37,Smart and Final Bellflower,15930 Bellflower Blvd,Bellflower,CA,90706
38,Smart and Final Los Angeles La Cienega,1835 S La Cienega Blvd,Los Angeles,CA,90035
39,Smart and Final Inglewood,1575 Centinela Ave,Inglewood,CA,90302
40,Smart and Final Los Angeles Pico,2949 W Pico Blvd,Los Angeles,CA,90006
41,Smart and Final West Hollywood N Fuller,1041 N Fuller Ave,West Hollywood,CA,90046
42,Smart and Final Los Angeles Western,939 N Western Ave,Los Angeles,CA,90029
43,Smart and Final Los Angeles Compton Ave,1216 Compton Ave,Los Angeles,CA,90021
44,Smart and Final Los Angeles 4th St,2308 E 4th St,Los Angeles,CA,90033
45,Smart and Final Scottsdale North,2441 N Scottsdale Rd,Scottsdale,AZ,85257
46,Smart and Final Scottsdale Pima,13802 N Scottsdale Rd Suite 110,Scottsdale,AZ,85254
47,Smart and Final San Diego El Cajon Blvd,6235 El Cajon Blvd,San Diego,CA,92115
48,Smart and Final San Diego Clairemont Mesa,5195 Clairemont Mesa Blvd,San Diego,CA,92117
49,Smart and Final San Diego 15th Street,720 15th St,San Diego,CA,92101
50,Smart and Final San Diego Midway,2804 Midway Dr,San Diego,CA,92110
