REQ_ID,Requirement_Name,Task_ID,Task_Description,Task_Type,BRD_Section_Reference,Fitment_Classification,Gap_or_Notes,Complexity,PD_UI,PD_Configuration,PD_Service_Development,PD_Integration_Development,PD_Third_Party_Coordination,PD_Unit_Testing,PD_Total
REQ-01,Promotion Engine & Subscription Kits,T01-01,Define coupon types (% fixed BOGO free delivery SKU bundles),Functional,REQ-01 §3,Out Of Box,Medusa promotions cover many types; BOGO/bundle depth may need rules,Low,0.5,3.0,0.5,0.0,0.0,0.5,4.5
REQ-01,Promotion Engine & Subscription Kits,T01-02,Configure triggers (campaign event sale segment),Functional,REQ-01 §3,Out Of Box,Customer groups/campaigns partial vs full segment engine,Low,0.5,2.0,1.0,0.0,0.0,0.5,4.0
REQ-01,Promotion Engine & Subscription Kits,T01-03,Validate cart value SKUs segment usage limits,Functional,REQ-01 §3,Out Of Box,Custom validators/workflows on Medusa cart,Medium,1.0,1.0,4.0,0.5,0.0,2.0,8.5
REQ-01,Promotion Engine & Subscription Kits,T01-04,Model kit SKU and credit N units on purchase,Functional,REQ-01 §3,Customization,No prepaid unit ledger in UC,Very High,2.0,1.0,15.0,2.0,1.0,5.0,26.0
REQ-01,Promotion Engine & Subscription Kits,T01-05,Checkout redeem from kit as zero-cost payment method,Functional,REQ-01 §3,Customization,Custom payment provider or line-level logic,Very High,3.0,1.0,20.0,3.0,2.0,6.0,35.0
REQ-01,Promotion Engine & Subscription Kits,T01-06,App dashboard remaining units (e.g. 12/50),Functional,REQ-01 §3,Customization,New UI + API,Medium,4.0,0.5,6.0,1.0,0.0,3.0,14.5
REQ-01,Promotion Engine & Subscription Kits,T01-07,Cart calculation latency target under 200ms,NFR,REQ-01 §4,Partial fitment,Requires performance test + infra,Medium,0.5,1.0,3.0,1.0,1.0,4.0,10.5
REQ-02,Wallet Management (Decoupled),T02-01,Implement double-entry ledger per customer,Functional,REQ-02 §3,Customization,Greenfield service,Very High,2.0,2.0,25.0,3.0,2.0,8.0,42.0
REQ-02,Wallet Management (Decoupled),T02-02,Transaction types top-up refund purchase manual expiry,Functional,REQ-02 §3,Customization,,High,2.0,2.0,15.0,2.0,2.0,6.0,29.0
REQ-02,Wallet Management (Decoupled),T02-03,No SAP query during checkout validation,Integration,REQ-02 §3,Customization,Architecture decision + implementation,Medium,0.0,2.0,4.0,2.0,1.0,2.0,11.0
REQ-02,Wallet Management (Decoupled),T02-04,Low balance alerts configurable,Functional,REQ-02 §3,Customization,Notification service,Medium,3.0,3.0,5.0,2.0,1.0,3.0,17.0
REQ-02,Wallet Management (Decoupled),T02-05,Daily reconciliation export to SAP,Integration,REQ-02 §4,Customization,Batch + mapping,High,1.0,2.0,8.0,12.0,8.0,5.0,36.0
REQ-02,Wallet Management (Decoupled),T02-06,Conflict resolution app master SAP adjusted,Integration,REQ-02 §4,Customization,Process + tooling,High,0.5,4.0,5.0,6.0,10.0,3.0,28.5
REQ-03,Subscription Management,T03-01,1:N subscriptions per customer with unique subscription ID,Functional,REQ-03 §3,Out Of Box,SMP data model,Medium,1.0,2.0,8.0,1.0,0.0,3.0,15.0
REQ-03,Subscription Management,T03-02,Lifecycle states and edits pause skip address payment SKU,Functional,REQ-03 §3,Customization,,High,4.0,2.0,20.0,4.0,2.0,8.0,40.0
REQ-03,Subscription Management,T03-03,Custom frequency (e.g. Tue Fri),Functional,REQ-03 §3,Customization,,High,2.0,1.0,12.0,1.0,0.0,5.0,21.0
REQ-03,Subscription Management,T03-04,Daily cron generate next-day orders,Functional,REQ-03 §4,Customization,Job + idempotency,High,1.0,2.0,12.0,3.0,2.0,5.0,25.0
REQ-03,Subscription Management,T03-05,Validate delivery day vs route plan,Functional,REQ-03 §3,Customization,Depends REQ-05/09,High,2.0,1.0,10.0,4.0,1.0,4.0,22.0
REQ-03,Subscription Management,T03-06,Push orders to fulfillment with subscription ID,Integration,REQ-03 §4,Customization,SalesWorx/SAP adapters,Very High,1.0,2.0,10.0,20.0,15.0,5.0,53.0
REQ-03,Subscription Management,T03-07,Retention prompt on cancel,Functional,REQ-03 §2,Customization,UX + rules,Medium,3.0,1.0,5.0,0.0,0.0,2.0,11.0
REQ-04,Bottle Deposit Handling,T04-01,Maintain held bottle count per customer,Functional,REQ-04 §3,Customization,,Medium,1.0,1.0,8.0,1.0,1.0,3.0,15.0
REQ-04,Bottle Deposit Handling,T04-02,Checkout net deposit charge credit rules,Functional,REQ-04 §3,Customization,,High,2.0,2.0,15.0,3.0,2.0,6.0,30.0
REQ-04,Bottle Deposit Handling,T04-03,Cap returns at held count,Functional,REQ-04 §3,Customization,,Low,0.5,1.0,4.0,0.0,0.0,2.0,7.5
REQ-04,Bottle Deposit Handling,T04-04,Driver confirm actual returns wallet adjust,Functional,REQ-04 §3,Customization,Driver app or integration,High,4.0,1.0,10.0,8.0,6.0,4.0,33.0
REQ-04,Bottle Deposit Handling,T04-05,SAP bulk import liabilities at cutover,Integration,REQ-04 §4,Customization,ETL,High,0.5,3.0,6.0,15.0,10.0,4.0,38.5
REQ-04,Bottle Deposit Handling,T04-06,Daily SAP finance sync deposit GL,Integration,REQ-04 §4,Customization,,High,0.5,2.0,6.0,12.0,8.0,4.0,32.5
