REQ_ID,Requirement_Name,Business_Objective_Summary,Key_Functional_Tasks_Summary,Data_Integration_Notes,UnifiedCommerce_Assessment,Fitment_Classification,Functionality_Gaps,Notes
REQ-01,Promotion Engine & Subscription Kits,"Flexible promotion engine without code deploys; subscription kits (prepaid bundles) and digital coupons in checkout","Coupon types: % off; fixed amount; BOGO; free delivery; SKU bundles. Triggers: campaign; event (e.g. birthday); sale; segment (new/lapsed). Validate cart value; SKUs; segment; usage limits. Kit as purchasable SKU; credit N units; checkout redeem from kit at 0; dashboard e.g. 12/50 bottles","Rules in admin; cart engine <200ms; adjusted total to payment gateway","Medusa promotions and price lists; Java catalog microservices for read paths. No kit credit ledger or redeem-from-kit payment method","Partial fitment","Kit purchase → unit balance; redemption at checkout as payment method; visual balance UI; full segment/churn rules as specified; hard latency SLA","Medusa promotions exist; kit model is net-new"
REQ-02,Wallet Management (Decoupled),"Real-time digital wallet as source of truth; SAP downstream batch not live checkout","Double-entry ledger per customer; types: top-up; refund; purchase; manual CS adj; expiry. No SAP at checkout; balance in commerce DB; low-balance alerts; daily recon to SAP; app master on conflict","Real-time app↔wallet; async wallet→SAP; payload: customer; txn id; amount; type; GL code","No dedicated wallet microservice/ledger in repo; Medusa payments not equivalent to full ledger + SAP recon","Customization","Ledger schema; all transaction types; encumbrance rules; SAP daily journal; reconciliation conflict policy; CS adjustment UI","Greenfield capability vs BRD"
REQ-03,Subscription Management,"SMP with 1:N subscriptions; pause; frequency; auto-debit; retention on cancel","Unique subscription ID; hierarchy customer→subscriptions→SKUs. States: active; paused; cancelled; payment failed; completed. Edit: next date; skip; address; payment; SKU swap. Frequencies incl. custom weekdays. Scheduler generates orders; respect route plan (block/warn). Orders + subscription ID to fulfillment/analytics; retention popup","Cron generates next-day orders; push to SalesWorx/SAP with subscription id in payload","Medusa may support subscriptions module but not BRD SMP; no journey-plan validation or SalesWorx integration in repo","Customization","Full lifecycle; custom schedules; pause vacation; auto-charge; route-aware scheduling; external order push; LTV analytics fields","Heavy integration + workflow"
REQ-04,Bottle Deposit Handling,"Refundable 5-gallon deposits; bottle liability; net deposit at checkout; driver true-up","Per-customer held bottle count; cart vs return qty; net deposit charge/credit; return qty ≤ held; line items product vs deposit; driver actual vs promised → wallet adjust; SAP bulk import at launch; daily SAP finance sync","One-time ETL from SAP; daily deposit liability GL sync","No bottle liability or deposit checkout logic in UnifiedCommerce","Customization","Virtual inventory; validation rules; driver reconciliation job; SAP import/sync; invoice line breakdown","Domain-specific"
REQ-05,Dormant Account & Journey Plan Management,"Commerce master for routes; dormant customers can order; assign route by geo; push to SalesWorx","Route master: days; driver; capacity. Geo polygons on map → route IDs. Auto-assign on address/first order (lat/long→polygon). Push journey plan to SalesWorx; push active status to SAP. No SAP query for assignment","Output journey plan per route; integrations to SalesWorx and SAP","No PostGIS journey planning; store-locator module ≠ operational polygons","Customization","Polygon editor; point-in-polygon; route master; dormant vs SAP archive decoupling; SalesWorx/SAP pushes","Ops + spatial stack"
REQ-06,Order Tracking & Status Management,"Uber-like express tracking; push notifications; driver chat; CS timestamps","States: ordered→confirmed→preparing→out for delivery→approaching→delivered/failed. Live map ETA; vendor driver SDK; geofence pushes; in-app chat or WhatsApp bridge; SalesWorx + GPS fusion; CRM widget","SalesWorx status; GPS stream from tracking module; app + Dynamics widget","Medusa orders/fulfillment; no driver app; live GPS; masked chat","Customization","Driver SDK/app; ETA; notifications; chat; express vs standard workflows; CRM embed","Large vendor scope"
REQ-07,Self-Service Cancellations & Withdrawals,"Cancel subscription; wallet withdrawal with finance approval; D365 case","Cancel with retention (REQ-03); settle bottle liability to wallet; withdrawal ≤ balance; freeze encumbrance; finance approve/reject → gateway refund or unfreeze; D365 case; in-app withdrawal status","Payment gateway CFT/refund; D365 case automation","Generic order cancel possible; no withdrawal workflow; finance portal; D365","Customization","Liability settlement; freeze/unfreeze; approval UI; gateway integration; CRM cases","Compliance-heavy"
REQ-08,Segment-Based Dynamic Pricing & Offers,"RFM segments; segment price/offer; admin; checkout <200ms; reporting","RFM model; default segments VIP/Gold/At Risk/Dormant/Churned; daily batch segment on profile; API at checkout; segment price override + priority; segment offers; admin CRUD; export CSV; reporting by segment. Scope also AI; multi-country; A/B (per BRD)","Segment validation <200ms; audit logs; security (logic not exposed client-side)","Customer groups + price lists + promotions in Medusa = partial overlap","Partial fitment","RFM batch job; segment attribute API; full offer matrix; analytics exports; AI/A/B/multi-country as in BRD scope","Strongest partial fit in UC"
REQ-09,Route Assignment & Address Management,"Pin → zone polygon → master route; OOS blocking; redraw polygon bulk reassign","Interactive map polygons; zone→master route; on address add/edit: point-in-polygon; delivery days + route on profile; OOS if outside zones; PostGIS","Spatial DB; master route ID feeds journey planning","Address capture exists; no operational polygon engine","Customization","PostGIS; zone admin; bulk reassignment; subscription block OOS","Pairs with REQ-05"
REQ-10,Invoice Generation,"Tax-compliant PDF; TRN; VAT; deposit breakdown; email; retention","HTML/CSS template; trigger on delivered; TRN; line items; VAT 5%; deposit; PDF download + email; 5-year storage; numbering vs SAP; order ref as primary if needed","Store PDF or regen data; SAP number alignment optional","Medusa can extend order documents; no BRD-specific template/retention","Partial fitment","Template; triggers; TRN/VAT/deposit layout; long-term archive; email delivery","Custom templates typical"
